"","gene.name","X","raw.P.values","Adjusted.P.values","Log.fold.change"
"1"," ENSMUSG00000020953 "," Coch ",2.9e-21,3.6e-18,-4.844
"2"," ENSMUSG00000079022 "," Col22a1 ",5.07e-56,6.93e-52,-2.991
"3"," ENSMUSG00000026639 "," Lamb3 ",4.95e-21,5.21e-18,-2.821
"4"," ENSMUSG00000073643 "," Wdfy1 ",1.37e-28,6.26e-25,-2.555
"5"," ENSMUSG00000030516 "," Tjp1 ",8.58e-12,1.81e-09,-2.136
"6"," ENSMUSG00000029373 "," Pf4 ",7.9e-08,5.2e-06,-2.124
"7"," ENSMUSG00000017737 "," Mmp9 ",2.53e-10,3.11e-08,-1.743
"8"," ENSMUSG00000026712 "," Mrc1 ",1.56e-20,1.52e-17,-1.722
"9"," ENSMUSG00000002565 "," Scin ",1.77e-08,1.39e-06,-1.72
"10"," ENSMUSG00000022479 "," Vdr ",1.68e-10,2.3e-08,-1.714
"11"," ENSMUSG00000026874 "," Hc ",5.92e-15,2.61e-12,-1.693
"12"," ENSMUSG00000027820 "," Mme ",6.26e-12,1.4e-09,-1.669
"13"," ENSMUSG00000074491 "," Clec4g ",1.57e-09,1.53e-07,-1.619
"14"," ENSMUSG00000020701 "," Tmem132e ",2.28e-21,3.12e-18,-1.503
"15"," ENSMUSG00000026390 "," Marco ",9.19e-12,1.88e-09,-1.502
"16"," ENSMUSG00000028100 "," Nudt17 ",0.00421,0.0338,-1.484
"17"," ENSMUSG00000074207 "," Adh1 ",1.89e-05,0.000482,-1.46
"18"," ENSMUSG00000026121 "," Sema4c ",1.36e-07,8.1e-06,-1.451
"19"," ENSMUSG00000002020 "," Ltbp2 ",2.08e-16,1.14e-13,-1.438
"20"," ENSMUSG00000060961 "," Slc4a4 ",2.05e-11,3.75e-09,-1.436
"21"," ENSMUSG00000029675 "," Eln ",1.56e-17,1.12e-14,-1.42
"22"," ENSMUSG00000009356 "," Lpo ",0.011,0.0672,-1.384
"23"," ENSMUSG00000030159 "," Clec1b ",3.01e-09,2.8e-07,-1.363
"24"," ENSMUSG00000055214 "," Pld5 ",1.21e-05,0.00034,-1.354
"25"," ENSMUSG00000040829 "," Zmynd15 ",2.05e-12,5.18e-10,-1.349
"26"," ENSMUSG00000031548 "," Sfrp1 ",7.93e-12,1.72e-09,-1.341
"27"," ENSMUSG00000071714 "," Csf2rb2 ",1.87e-11,3.46e-09,-1.297
"28"," ENSMUSG00000020592 "," Sdc1 ",1.17e-11,2.25e-09,-1.287
"29"," ENSMUSG00000026166 "," Ccl20 ",7.03e-08,4.73e-06,-1.275
"30"," ENSMUSG00000027358 "," Bmp2 ",2.75e-06,0.000102,-1.274
"31"," ENSMUSG00000030795 "," Fus ",0.0248,0.119,-1.263
"32"," ENSMUSG00000038608 "," Dock10 ",2.65e-11,4.47e-09,-1.254
"33"," ENSMUSG00000021732 "," Fgf10 ",0.000112,0.00206,-1.253
"34"," ENSMUSG00000040084 "," Bub1b ",6.59e-13,1.8e-10,-1.246
"35"," ENSMUSG00000020661 "," Dnmt3a ",7.07e-19,6.29e-16,-1.238
"36"," ENSMUSG00000033257 "," Ttll4 ",7.15e-12,1.58e-09,-1.238
"37"," ENSMUSG00000021573 "," Tppp ",1.57e-09,1.53e-07,-1.23
"38"," ENSMUSG00000020042 "," Btbd11 ",8.86e-14,2.82e-11,-1.224
"39"," ENSMUSG00000024164 "," C3 ",8.19e-10,9.18e-08,-1.207
"40"," ENSMUSG00000001986 "," Gria3 ",2.39e-11,4.18e-09,-1.197
"41"," ENSMUSG00000022883 "," Robo1 ",2.55e-10,3.11e-08,-1.179
"42"," ENSMUSG00000091650 "," Apol11a ",2.64e-07,1.47e-05,-1.178
"43"," ENSMUSG00000020593 "," Lpin1 ",9.2e-15,3.7e-12,-1.159
"44"," ENSMUSG00000026944 "," Abca2 ",2.4e-13,6.85e-11,-1.158
"45"," ENSMUSG00000027716 "," Trpc3 ",5.47e-08,3.72e-06,-1.137
"46"," ENSMUSG00000026587 "," Astn1 ",1.92e-08,1.47e-06,-1.129
"47"," ENSMUSG00000038894 "," Irs2 ",7.3e-10,8.25e-08,-1.129
"48"," ENSMUSG00000067764 "," Xlr5c ",1.96e-05,0.000495,-1.126
"49"," ENSMUSG00000042284 "," Itga1 ",2.25e-11,4e-09,-1.111
"50"," ENSMUSG00000022440 "," C1qtnf6 ",4.11e-06,0.000141,-1.111
"51"," ENSMUSG00000024899 "," Papss2 ",7.19e-08,4.82e-06,-1.104
"52"," ENSMUSG00000031266 "," Gla ",3.42e-08,2.44e-06,-1.095
"53"," ENSMUSG00000039621 "," Prex1 ",5.41e-14,1.8e-11,-1.083
"54"," ENSMUSG00000033149 "," Phldb2 ",3.33e-12,8e-10,-1.082
"55"," ENSMUSG00000001864 "," Aif1l ",8.3e-06,0.000248,-1.073
"56"," ENSMUSG00000070000 "," Fcho1 ",0.000113,0.00207,-1.072
"57"," ENSMUSG00000040624 "," Plekhg1 ",8.3e-15,3.44e-12,-1.063
"58"," ENSMUSG00000026872 "," Zeb2 ",8.86e-09,7.52e-07,-1.056
"59"," ENSMUSG00000050199 "," Lgr4 ",5.47e-07,2.64e-05,-1.055
"60"," ENSMUSG00000036907 "," C1ql2 ",3.98e-06,0.000137,-1.054
"61"," ENSMUSG00000032735 "," Ablim3 ",2.49e-11,4.25e-09,-1.052
"62"," ENSMUSG00000060429 "," Sntb1 ",5.56e-06,0.000181,-1.05
"63"," ENSMUSG00000008318 "," Relt ",6.5e-05,0.00133,-1.047
"64"," ENSMUSG00000018428 "," Akap1 ",2.81e-12,6.99e-10,-1.043
"65"," ENSMUSG00000006522 "," Itih3 ",0.0314,0.141,-1.043
"66"," ENSMUSG00000039395 "," Mreg ",3.97e-05,0.000898,-1.04
"67"," ENSMUSG00000070407 "," Hs3st3b1 ",1.2e-08,9.94e-07,-1.036
"68"," ENSMUSG00000026768 "," Itga8 ",0.039,0.162,-1.035
"69"," ENSMUSG00000027695 "," Pld1 ",2.93e-08,2.13e-06,-1.032
"70"," ENSMUSG00000074141 "," Il4i1 ",1.73e-06,6.97e-05,-1.029
"71"," ENSMUSG00000015243 "," Abca1 ",1.77e-08,1.39e-06,-1.026
"72"," ENSMUSG00000075010 "," AW112010 ",0.00299,0.0261,-1.006
"73"," ENSMUSG00000031196 "," F8 ",1.31e-09,1.35e-07,-1.006
"74"," ENSMUSG00000055805 "," Fmnl1 ",9.58e-09,8.04e-07,-1.005
"75"," ENSMUSG00000028763 "," Hspg2 ",1.41e-05,0.000388,-0.991
"76"," ENSMUSG00000001870 "," Ltbp1 ",1.44e-16,8.58e-14,-0.984
"77"," ENSMUSG00000030745 "," Il21r ",0.00109,0.0122,-0.98
"78"," ENSMUSG00000021944 "," Gata4 ",6.81e-07,3.13e-05,-0.974
"79"," ENSMUSG00000015957 "," Wnt11 ",1.45e-05,0.000394,-0.971
"80"," ENSMUSG00000032289 "," Thsd4 ",1.31e-10,1.87e-08,-0.958
"81"," ENSMUSG00000025332 "," Kdm5c ",3.67e-15,1.67e-12,-0.956
"82"," ENSMUSG00000020310 "," Madcam1 ",2.88e-07,1.6e-05,-0.952
"83"," ENSMUSG00000027204 "," Fbn1 ",1.29e-06,5.37e-05,-0.938
"84"," ENSMUSG00000020826 "," Nos2 ",2.17e-08,1.63e-06,-0.937
"85"," ENSMUSG00000027030 "," Stk39 ",2.89e-06,0.000107,-0.937
"86"," ENSMUSG00000029084 "," Cd38 ",0.000188,0.00313,-0.933
"87"," ENSMUSG00000030691 "," Fchsd2 ",1.09e-06,4.69e-05,-0.926
"88"," ENSMUSG00000022464 "," Slc38a4 ",3.1e-07,1.68e-05,-0.923
"89"," ENSMUSG00000031144 "," Syp ",0.000659,0.00821,-0.917
"90"," ENSMUSG00000021338 "," Lrrc16a ",1.72e-06,6.92e-05,-0.915
"91"," ENSMUSG00000044393 "," Dsg2 ",3.67e-09,3.39e-07,-0.912
"92"," ENSMUSG00000036144 "," Meox2 ",1.92e-08,1.47e-06,-0.912
"93"," ENSMUSG00000041992 "," Rapgef5 ",9.93e-08,6.2e-06,-0.909
"94"," ENSMUSG00000037885 "," Stk35 ",1.17e-13,3.63e-11,-0.904
"95"," ENSMUSG00000027276 "," Jag1 ",1.12e-11,2.18e-09,-0.904
"96"," ENSMUSG00000039304 "," Tnfsf10 ",4.23e-07,2.17e-05,-0.901
"97"," ENSMUSG00000039835 "," Nhsl1 ",1e-12,2.69e-10,-0.9
"98"," ENSMUSG00000041720 "," Pi4ka ",3.87e-10,4.52e-08,-0.898
"99"," ENSMUSG00000032115 "," Hyou1 ",0.000127,0.00227,-0.897
"100"," ENSMUSG00000020422 "," Tns3 ",8.61e-08,5.58e-06,-0.889
"101"," ENSMUSG00000035493 "," Tgfbi ",6.37e-05,0.00131,-0.889
"102"," ENSMUSG00000025153 "," Fasn ",6.34e-09,5.52e-07,-0.888
"103"," ENSMUSG00000089901 "," Gm8113 ",6.03e-07,2.82e-05,-0.886
"104"," ENSMUSG00000034738 "," Nostrin ",9.88e-07,4.32e-05,-0.883
"105"," ENSMUSG00000023328 "," Ache ",0.000555,0.00718,-0.879
"106"," ENSMUSG00000044468 "," Fam46c ",8.45e-05,0.00164,-0.875
"107"," ENSMUSG00000043391 "," 2510009E07Rik ",1.95e-10,2.51e-08,-0.87
"108"," ENSMUSG00000022443 "," Myh9 ",7.01e-06,0.000216,-0.87
"109"," ENSMUSG00000035078 "," Mtmr9 ",1.41e-05,0.000388,-0.87
"110"," ENSMUSG00000005672 "," Kit ",5.36e-07,2.6e-05,-0.869
"111"," ENSMUSG00000036298 "," Slc2a13 ",2.63e-06,9.83e-05,-0.869
"112"," ENSMUSG00000032902 "," Slc16a1 ",9.41e-05,0.00179,-0.869
"113"," ENSMUSG00000033763 "," Mtss1l ",2.61e-06,9.81e-05,-0.864
"114"," ENSMUSG00000027318 "," Adam33 ",0.000194,0.0032,-0.856
"115"," ENSMUSG00000024087 "," Cyp1b1 ",8.87e-06,0.000262,-0.856
"116"," ENSMUSG00000030737 "," Slco2b1 ",2.32e-06,8.91e-05,-0.856
"117"," ENSMUSG00000039005 "," Tlr4 ",6.14e-06,0.000194,-0.855
"118"," ENSMUSG00000029370 "," Rassf6 ",0.00179,0.0179,-0.855
"119"," ENSMUSG00000039456 "," Morc3 ",5.2e-07,2.55e-05,-0.84
"120"," ENSMUSG00000023088 "," Abcc1 ",1.67e-09,1.6e-07,-0.835
"121"," ENSMUSG00000061589 "," Dot1l ",1.2e-07,7.19e-06,-0.831
"122"," ENSMUSG00000027878 "," Notch2 ",2.12e-09,2.02e-07,-0.828
"123"," ENSMUSG00000033308 "," Dpyd ",1.51e-05,0.000407,-0.828
"124"," ENSMUSG00000033943 "," Mga ",0.000176,0.00296,-0.825
"125"," ENSMUSG00000032812 "," Arap1 ",9.44e-11,1.43e-08,-0.824
"126"," ENSMUSG00000004668 "," Abca13 ",0.00022,0.00354,-0.824
"127"," ENSMUSG00000021906 "," Oxnad1 ",0.0106,0.0651,-0.815
"128"," ENSMUSG00000026748 "," Plxdc2 ",1.83e-06,7.23e-05,-0.812
"129"," ENSMUSG00000034394 "," Lif ",1.16e-06,4.93e-05,-0.811
"130"," ENSMUSG00000039298 "," Cdk5rap2 ",4.38e-07,2.23e-05,-0.811
"131"," ENSMUSG00000057596 "," Trim30d ",3.05e-05,0.000715,-0.806
"132"," ENSMUSG00000020120 "," Plek ",0.000378,0.00542,-0.806
"133"," ENSMUSG00000021703 "," Serinc5 ",6.01e-07,2.82e-05,-0.805
"134"," ENSMUSG00000022586 "," Ly6i ",0.000379,0.00543,-0.804
"135"," ENSMUSG00000008193 "," Spib ",0.000446,0.00615,-0.803
"136"," ENSMUSG00000070939 "," Tgfbrap1 ",0.00012,0.00217,-0.803
"137"," ENSMUSG00000031441 "," Atp11a ",3.47e-07,1.85e-05,-0.802
"138"," ENSMUSG00000027698 "," Nceh1 ",4.56e-08,3.2e-06,-0.8
"139"," ENSMUSG00000025612 "," Bach1 ",6.99e-07,3.21e-05,-0.799
"140"," ENSMUSG00000004266 "," Ptpn6 ",0.00315,0.0271,-0.792
"141"," ENSMUSG00000024065 "," Ehd3 ",0.00213,0.0204,-0.788
"142"," ENSMUSG00000096606 "," Gm4980 ",7.21e-05,0.00144,-0.782
"143"," ENSMUSG00000023830 "," Igf2r ",1.23e-05,0.000343,-0.781
"144"," ENSMUSG00000038886 "," Man2a2 ",3.77e-06,0.000132,-0.78
"145"," ENSMUSG00000035459 "," Stab2 ",1.7e-11,3.18e-09,-0.779
"146"," ENSMUSG00000079487 "," Med12 ",0.000216,0.0035,-0.777
"147"," ENSMUSG00000037347 "," Chst7 ",7.87e-06,0.000238,-0.773
"148"," ENSMUSG00000026933 "," Camsap1 ",2.82e-06,0.000105,-0.765
"149"," ENSMUSG00000032554 "," Trf ",3.63e-05,0.000829,-0.758
"150"," ENSMUSG00000015133 "," Lrrk1 ",3.99e-05,9e-04,-0.752
"151"," ENSMUSG00000052384 "," Nrros ",0.00163,0.0167,-0.748
"152"," ENSMUSG00000020770 "," Unk ",0.000117,0.00212,-0.744
"153"," ENSMUSG00000021257 "," Angel1 ",0.0043,0.0343,-0.743
"154"," ENSMUSG00000044674 "," Fzd1 ",0.000115,0.0021,-0.742
"155"," ENSMUSG00000047793 "," Sned1 ",0.000203,0.00331,-0.742
"156"," ENSMUSG00000010175 "," Prox1 ",3.6e-06,0.000127,-0.742
"157"," ENSMUSG00000079481 "," Nhsl2 ",0.000512,0.0068,-0.74
"158"," ENSMUSG00000038371 "," Sbf2 ",0.00121,0.0132,-0.737
"159"," ENSMUSG00000038178 "," Slc43a2 ",0.011,0.0669,-0.736
"160"," ENSMUSG00000020914 "," Top2a ",0.00669,0.0474,-0.732
"161"," ENSMUSG00000057367 "," Birc2 ",0.000873,0.0102,-0.731
"162"," ENSMUSG00000032560 "," Dnajc13 ",3.03e-07,1.65e-05,-0.731
"163"," ENSMUSG00000025224 "," Gbf1 ",0.00011,0.00205,-0.73
"164"," ENSMUSG00000035941 "," Ibtk ",4.69e-05,0.00103,-0.726
"165"," ENSMUSG00000026434 "," Nucks1 ",6.57e-05,0.00134,-0.725
"166"," ENSMUSG00000053080 "," 2700081O15Rik ",0.000274,0.00421,-0.724
"167"," ENSMUSG00000007613 "," Tgfbr1 ",1.2e-06,5.07e-05,-0.724
"168"," ENSMUSG00000032000 "," Birc3 ",9.83e-06,0.000282,-0.722
"169"," ENSMUSG00000035200 "," Chrnb4 ",0.00269,0.0242,-0.72
"170"," ENSMUSG00000034220 "," Gpc1 ",5.65e-07,2.7e-05,-0.719
"171"," ENSMUSG00000022148 "," Fyb ",0.00336,0.0285,-0.719
"172"," ENSMUSG00000037169 "," Mycn ",0.012,0.0717,-0.717
"173"," ENSMUSG00000032332 "," Col12a1 ",2.29e-07,1.3e-05,-0.714
"174"," ENSMUSG00000001128 "," Cfp ",0.00962,0.0611,-0.71
"175"," ENSMUSG00000042350 "," Arel1 ",7.06e-05,0.00142,-0.704
"176"," ENSMUSG00000029287 "," Tgfbr3 ",7.28e-06,0.000222,-0.703
"177"," ENSMUSG00000062232 "," Rapgef2 ",3.87e-08,2.73e-06,-0.699
"178"," ENSMUSG00000033386 "," Frrs1 ",1.88e-05,0.000479,-0.698
"179"," ENSMUSG00000030930 "," Chst15 ",0.000199,0.00326,-0.696
"180"," ENSMUSG00000028556 "," Dock7 ",0.00054,0.00705,-0.695
"181"," ENSMUSG00000032086 "," Bace1 ",6.17e-06,0.000194,-0.695
"182"," ENSMUSG00000062960 "," Kdr ",9.53e-10,1.03e-07,-0.69
"183"," ENSMUSG00000024665 "," Fads2 ",0.0019,0.0188,-0.689
"184"," ENSMUSG00000033792 "," Atp7a ",7.7e-05,0.00151,-0.689
"185"," ENSMUSG00000036529 "," Sbf1 ",0.00156,0.0162,-0.688
"186"," ENSMUSG00000020300 "," Cpeb4 ",5.67e-07,2.7e-05,-0.687
"187"," ENSMUSG00000053641 "," Dennd4a ",0.00172,0.0173,-0.687
"188"," ENSMUSG00000038521 "," C1s1 ",4.22e-05,0.000941,-0.687
"189"," ENSMUSG00000033278 "," Ptprm ",4.18e-06,0.000143,-0.686
"190"," ENSMUSG00000000305 "," Cdh4 ",0.00401,0.0325,-0.685
"191"," ENSMUSG00000102329 "," Gm10851 ",0.000653,0.00817,-0.683
"192"," ENSMUSG00000031216 "," Stard8 ",0.00271,0.0243,-0.682
"193"," ENSMUSG00000051379 "," Flrt3 ",5.86e-06,0.000187,-0.681
"194"," ENSMUSG00000028339 "," Col15a1 ",0.0359,0.154,-0.68
"195"," ENSMUSG00000020827 "," Mink1 ",0.00012,0.00217,-0.679
