"","gene_endo_factor3","gene_endo_factor8","gene_endo_factor15","gene_endo_factor17"
"1","Bhlhe40","Cd74","Hbegf","Plpp2"
"2","Bcl3","H2-Aa","Rel","Naprt"
"3","1110017D15Rik","H2-Ab1","Nfkbia","Cwc27"
"4","Noct","H2-Eb1","Maff","Serpinb6b"
"5","Relb","Acer2","Ccnl1","Csrp2"
"6","Icam4","Tspan7","Kdm6b","Prkca"
"7","1810032O08Rik","Rasgef1a","Ccnt1","Cfb"
"8","Neurl3","Daam1","Cfap43","Emp3"
"9","2810474O19Rik","Slco2a1","Arid5a","Gda"
"10","Pinx1","Ly6a","Batf3","Hook2"
"11","Vars","Mfap2","Slc25a25","Il1r1"
"12","Gramd1a","Calcrl","Dusp5","Lcn2"
"13","Fadd","Acvrl1","Gcnt2","Lgmn"
"14","Sema4c","Casz1","Cflar","Fam46c"
"15","Slc17a9","Tmem100","Ddit3","Gpr137b-ps"
"16","Chd2","Thbd","Zc3H12a","Ch25h"
"17","Maff","H2-Dma","Spag9","Cd63"
"18","Birc3","Adgre5","Irf8","Ltc4s"
"19","H2-Q6","Disp2","Swap70","Npm3"
"20","Ccrl2","H2-Dmb1","Jund","Atic"
"21","Tnip1","Ace","Irf2bpl","Acad9"
"22","4930578M01Rik","H2-D1","Vmp1","Phpt1"
"23","Nr1d2","Clec14a","Csrnp1","Eif5b"
"24","Prr7","H2-K1","Hivep2","Mfsd13a"
"25","Cd40","Foxf1","Dusp16","Pemt"
"26","Tnfaip3","Scn7a","Birc3","Mmaa"
"27","Per1","Sdpr","Tnfrsf12a","Tma16"
"28","Erdr1","Epas1","Pim1","Wwox"
"29","Gm26542","Lima1","Nfkbiz","Nob1"
"30","Ppp1r10","Hpgd","Taf7","Isyna1"
"31","6230400D17Rik","Fmo1","Stx11","Lgals4"
"32","Mvd","H2-T23","Hsph1","Tmie"
"33","Casp4","Cadm1","Sde2","Nacc1"
"34","Irf5","Ramp2","Jmjd1C","Rps12"
"35","5430416N02Rik","Klhl5","Rp23-220F20.2","Ccdc109b"
"36","Rd3","Lrrc8b","Ubc","Uap1l1"
"37","Socs2","Tek","Pde12","Rida"
"38","Hivep2","Grtp1","Plaur","Gpr107"
"39","Tifa","Aldh2","Nfil3","Serf1"
"40","Twnk","Slc3a2","Hspa2","2610021A01Rik"
"41","Csf1","Cldn5","Tnfaip3","Tgm2"
"42","Aa415398","Ntrk2","Ifrd1","Traf4"
"43","Nod2","Cdk14","Atf3","Plpp5"
"44","Amn1","Ncald","Apold1","Atp1b3"
"45","Asprv1","Fnbp1l","Etv6","Nectin3"
"46","Foxp4","Pitpnc1","Map3K8","Lyar"
"47","Nr1d1","Slc24a4","Bag3","Alad"
"48","Pcf11","Hyal2","Tra2b","Raet1e"
"49","Tgif1","Chid1","Osgin1","H13"
"50","Nfkbil1","Epb41","Clic4","Ndufs8"
"51","Pus1","Pltp","Sbno2","Mterf3"
"52","2610035D17Rik","Gbp8","Casp4","Rps5"
"53","Gse1","Sptbn1","Brwd1","Ddx27"
"54","Gtf2Ird2","Rdx","Mafk","Kpnb1"
"55","Icosl","Rasal2","Pim3","Ppp1r14b"
"56","S1pr2","Ciita","Fosb","Bace2"
"57","Stx11","Slc43a3","Zswim6","Msantd2"
"58","Pim2","Cd36","Siah2","Snrpf"
"59","Tank","Lpl","Nup98","Mt2"
"60","Gdf15","Gata2","Mast4","Rplp1"
"61","Sh2b2","Miga2","Gm26545","Zfp423"
"62","Hist1H4I","Gstm1","Adamts9","Pdcd5"
"63","Hpx","Nipal2","Btaf1","Bst1"
"64","Cbx4","Bmpr2","Pnrc1","Atf1"
"65","Fam69b","Adrb1","Tgif2","Rpl22"
"66","Hivep1","Adgra3","Srf","Rab13"
"67","Slc25a25","H2-Q6","Zfp598","Ctps"
"68","Ctrl","Itpripl2","Sox7","Wbp11"
"69","Parp3","Xdh","Rnf19b","Ammecr1"
"70","Zfp516","Aqp1","4430402I18Rik","Adh5"
"71","Gm43062","Tmcc2","Flnb","Gm26902"
"72","Rab20","Tti2","Nr4a1","H2afj"
"73","Supv3l1","Cep41","H3F3b","Pgam1"
"74","Mob3c","Prrt4","Ccnl2","Tusc1"
"75","Rdh5","Ly6e","Plk3","Rpl38"
"76","Hook2","Wars","Eif5","Eif3e"
"77","Prosc","H2-Q7","Clk4","Actn1"
"78","Lat2","Lifr","Zfp36","Zdhhc2"
"79","Tgtp1","Cyth3","Bhlhe40","Fth1"
"80","Tha1","Cldn3","Zfand5","Timm9"
"81","Rpp38","Rab27b","Cdr2","Tpd52l1"
"82","Nop58","Tmtc2","Sik1","Rpl39"
"83","Gnl3","Arap2","Dnajb1","Lrg1"
"84","Col11a2","Zfp641","Dusp8","Aprt"
"85","Zbtb21","Hmcn1","Nabp1","Psmg4"
"86","Tk1","Tmem221","Adamts1","Gnl2"
"87","Egr2","Tmod2","Junb","Sys1"
"88","Nfkb2","Tor3a","Timp3","Higd2a"
"89","Tinagl1","Mapt","Gm38399","Glod4"
"90","Pogk","Parp11","Mafg","Tmem35b"
"91","Fam72a","Asap2","Ppp1r18","Rpl26"
"92","Kyat1","Bc028528","Mapk6","Alyref"
"93","Zfp296","Vegfa","Pcf11","Rtcb"
"94","Ralgds","Dnah8","Gna13","Vasn"
"95","Il4I1","Au020206","Stat3","Gss"
"96","Zfp870","Dpp4","Flnc","Rps8"
"97","Ppp1r18","Casc4","Icam1","Ptms"
"98","Tcf19","Pllp","Usp36","Susd2"
"99","Amhr2","Smad6","Nav2","Zfp629"
"100","Csrnp1","Tcn2","Skil","Rps25"
"101","Wsb1","Ptgfrn","Tmem33","Rpl37a"
"102","Ifrd1","Wdr11","Gadd45b","Stambpl1"
"103","Ddx58","Brd9","Cstf3","Rps23"
"104","Fosl2","Sun1","Pkd1l3","Hist2h2aa1"
"105","Endov","Cyp4b1","Ppp1r15a","Atg3"
"106","Cdkn2aip","Arhgef26","Dennd5b","Eif1ax"
"107","Zfp456","Efnb1","Plekho2","Rpl36a"
"108","Ciart","Gpr182","Cbx4","Hcfc1r1"
"109","Zbtb2","Prr12","Zfp46","Rpl32"
"110","Smarcd3","Ackr4","Fosl1","Mrpl52"
"111","Dbp","Scn3b","Noct","Rps9"
"112","Ttc21a","Pdp2","Zfp655","Rps12-ps3"
"113","Irgm2","Pde9a","Rab20","Rpl41"
"114","Clk1","Nipal3","Tfe3","Larp7"
"115","Kdm6b","Icam2","Fosl2","Ncf2"
"116","Srsf5","Pard6g","Atf4","Fam69a"
"117","Dll1","Cav1","Nfe2l2","Rps20"
"118","Pank2","Ltbp1","Slc25a33","Fam114a1"
"119","Ebf1","Prdm11","Fut2","Rps6"
"120","Jak3","Tnrc6c","Phf23","Ifi27l2a"
"121","Stmn4","Zfp472","1810055G02Rik","Snrpg"
"122","Aacs","Atp13a2","Errfi1","Sec61b"
"123","Sdcbp2","Ifitm10","Coq10b","Set"
"124","Birc5","Ptprb","Clk1","Tufm"
"125","Bbc3","Rnf144a","Rnf185","Tfap2a"
"126","Elmsan1","Itm2b","Chd1","Hmgb3"
"127","N4bp2l2","Gm10031","Nuak2","Tsen54"
"128","N4bp2l1","Mill2","Bcr","Rps15a"
"129","Pnrc1","Nlgn2","2010111I01Rik","Rpl14"
"130","Trit1","Luzp1","Nup210l","Rpsa"
"131","Milr1","Pde3a","Ippk","Clns1a"
"132","Shb","Sgip1","Peli1","Fam132a"
"133","Ldlrad4","Cep83os","Ssh1","Rpl29"
"134","Camk2n2","Ghr","Snai2","Strap"
"135","Cdc42ep4","Jup","Nt5dc3","Txnrd2"
"136","Elovl6","Adgrf5","Etf1","Rpl12"
"137","Homer1","Prx","Klf6","Serpina3n"
"138","Gm17455","Sema3g","Epha2","Trp53I13"
"139","Zc3h6","Bdp1","Gadd45a","Srm"
"140","Med13l","H2-M3","Neat1","Psenen"
"141","Mt2","Fam208a","Hspa5","Eef1d"
"142","Pim3","Olfr56","Slc7a1","Myo19"
"143","Cirbp","Oas2","Gm27010","Efl1"
"144","Gpbp1","Tap1","Dnaja1","Fuca2"
"145","Sun2","P2rx4","Sat1","Eif3k"
"146","Apon","Cadps2","Mcl1","Tomm20"
"147","Slc6a6","Sema3c","Brd2","Numbl"
"148","Atrnl1","Prex2","Tgoln1","Glrx5"
"149","Tef","Adrb2","Rabgef1","Drap1"
"150","Ctps","Nkd1","Tiparp","Tma7"
"151","Sbsn","Cav2","Map2k3","Bysl"
"152","Armc3","Meis1","Rnd1","Cyb5r1"
"153","Mapk15","Amigo1","Pvr","Etfa"
"154","Mecom","Nckap5","Arf6","Gm3550"
"155","Hdc","Plxnc1","Eif1a","Tsc2"
"156","Fut2","Snx21","Cars","Rpl37"
"157","Eogt","Arl4d","Sec24a","Tomm7"
"158","Sec1","Stt3b","Atg2a","Serpinb9"
"159","Cep63","Cd47","Cd14","Glra1"
"160","Exoc3l4","Adgrl3","Lmna","Zfp354b"
"161","Gm26767","Numb","Prr7","Crls1"
"162","Oaf","Akap7","Kansl3","Llph"
"163","Patl1","Ifi47","Nfat5","Tspan5"
"164","Samsn1","H2-T24","Tmem11","Rpl36al"
"165","Gm15728","Cacfd1","Hspd1","Rpl13"
"166","Borcs6","Akap9","Ddx3Y","Rps18"
"167","Crybb3","1110034G24Rik","Pcna","Rps13"
"168","Zhx2","Gm4951","Nedd9","Tmem189"
"169","Samd14","Ido1","Sdc4","Rps26"
"170","Fbxw10","Slc16A9","Glul","Hspb11"
"171","Map3k14","Thap3","Gpr4","Zfp667"
"172","Slc25a47","Atp2a3","Tsc22d2","Commd7"
"173","Rbm12b1","Efnb2","Serpine1","Mrpl30"
"174","Rbm48","Gkap1","Dnajb4","S100A11"
"175","Ddit4","Ly6c1","Bcl10","Rpl17"
"176","Gm26545","Glb1L2","Eed","Ndufb6"
"177","Gm10605","Ucp2","Ipmk","Rpl35a"
"178","Mettl2","Champ1","Ccr7","Rps28"
"179","Pim1","S1pr1","Smim24","Timp1"
"180","Dph5","Cep290","P2ry2","Rsl24d1"
"181","Mrpl38","Qsox1","Nod2","Tbc1d24"
"182","Ddx31","Hilpda","Slc20a1","Eif5a"
"183","Cdkl1","Ctsd","Trps1","Sec61a1"
"184","Ctrb1","Snx14","Abl2","Nhp2"
"185","Bcor","Nucks1","Radil","Rpl24"
"186","Irf1","Epha4","Klf11","Mrpl10"
"187","Lyrm7","Ntn1","Yrdc","Pus7"
"188","Lemd2","Aph1a","Furin","Rack1"
"189","Icam1","Ehd4","Olfr328","Tor1aip2"
"190","Tmem91","Tmeff1","1810013L24Rik","Commd1"
"191","Epb41l4aos","Taz","Hmox1","Pitpna"
"192","Fbxo28","Gcfc2","Wac","Bex3"
"193","2310015A10Rik","Dhcr24","Neurl3","Rps15"
"194","Fgf2","Ankrd44","Relb","Macrod1"
"195","Mga","Aatk","Hspa1b","Atpif1"
"196","Mb21d2","Fgfr3","Arl5b","Ssr4"
"197","Ninj1","Aard","Iqgap1","Prelp"
"198","Pik3r5","Gcc2","Gprc5a","Ngf"
"199","Ints6","Acap2","Sqstm1","P2ry6"
"200","Alg12","Alas1","Gm12840","Znrd1"
