gene_endo_factor3;gene_endo_factor8;gene_endo_factor15;gene_endo_factor17
Bhlhe40;Cd74;Hbegf;Plpp2
Bcl3;H2-Aa;Rel;Naprt
1110017D15Rik;H2-Ab1;Nfkbia;Cwc27
Noct;H2-Eb1;Maff;Serpinb6b
Relb;Acer2;Ccnl1;Csrp2
Icam4;Tspan7;Kdm6b;Prkca
1810032O08Rik;Rasgef1a;Ccnt1;Cfb
Neurl3;Daam1;Cfap43;Emp3
2810474O19Rik;Slco2a1;Arid5a;Gda
Pinx1;Ly6a;Batf3;Hook2
Vars;Mfap2;Slc25a25;Il1r1
Gramd1a;Calcrl;Dusp5;Lcn2
Fadd;Acvrl1;Gcnt2;Lgmn
Sema4c;Casz1;Cflar;Fam46c
Slc17a9;Tmem100;Ddit3;Gpr137b-ps
Chd2;Thbd;Zc3H12a;Ch25h
Maff;H2-Dma;Spag9;Cd63
Birc3;Adgre5;Irf8;Ltc4s
H2-Q6;Disp2;Swap70;Npm3
Ccrl2;H2-Dmb1;Jund;Atic
Tnip1;Ace;Irf2bpl;Acad9
4930578M01Rik;H2-D1;Vmp1;Phpt1
Nr1d2;Clec14a;Csrnp1;Eif5b
Prr7;H2-K1;Hivep2;Mfsd13a
Cd40;Foxf1;Dusp16;Pemt
Tnfaip3;Scn7a;Birc3;Mmaa
Per1;Sdpr;Tnfrsf12a;Tma16
Erdr1;Epas1;Pim1;Wwox
Gm26542;Lima1;Nfkbiz;Nob1
Ppp1r10;Hpgd;Taf7;Isyna1
6230400D17Rik;Fmo1;Stx11;Lgals4
Mvd;H2-T23;Hsph1;Tmie
Casp4;Cadm1;Sde2;Nacc1
Irf5;Ramp2;Jmjd1C;Rps12
5430416N02Rik;Klhl5;Rp23-220F20.2;Ccdc109b
Rd3;Lrrc8b;Ubc;Uap1l1
Socs2;Tek;Pde12;Rida
Hivep2;Grtp1;Plaur;Gpr107
Tifa;Aldh2;Nfil3;Serf1
Twnk;Slc3a2;Hspa2;2610021A01Rik
Csf1;Cldn5;Tnfaip3;Tgm2
Aa415398;Ntrk2;Ifrd1;Traf4
Nod2;Cdk14;Atf3;Plpp5
Amn1;Ncald;Apold1;Atp1b3
Asprv1;Fnbp1l;Etv6;Nectin3
Foxp4;Pitpnc1;Map3K8;Lyar
Nr1d1;Slc24a4;Bag3;Alad
Pcf11;Hyal2;Tra2b;Raet1e
Tgif1;Chid1;Osgin1;H13
Nfkbil1;Epb41;Clic4;Ndufs8
Pus1;Pltp;Sbno2;Mterf3
2610035D17Rik;Gbp8;Casp4;Rps5
Gse1;Sptbn1;Brwd1;Ddx27
Gtf2Ird2;Rdx;Mafk;Kpnb1
Icosl;Rasal2;Pim3;Ppp1r14b
S1pr2;Ciita;Fosb;Bace2
Stx11;Slc43a3;Zswim6;Msantd2
Pim2;Cd36;Siah2;Snrpf
Tank;Lpl;Nup98;Mt2
Gdf15;Gata2;Mast4;Rplp1
Sh2b2;Miga2;Gm26545;Zfp423
Hist1H4I;Gstm1;Adamts9;Pdcd5
Hpx;Nipal2;Btaf1;Bst1
Cbx4;Bmpr2;Pnrc1;Atf1
Fam69b;Adrb1;Tgif2;Rpl22
Hivep1;Adgra3;Srf;Rab13
Slc25a25;H2-Q6;Zfp598;Ctps
Ctrl;Itpripl2;Sox7;Wbp11
Parp3;Xdh;Rnf19b;Ammecr1
Zfp516;Aqp1;4430402I18Rik;Adh5
Gm43062;Tmcc2;Flnb;Gm26902
Rab20;Tti2;Nr4a1;H2afj
Supv3l1;Cep41;H3F3b;Pgam1
Mob3c;Prrt4;Ccnl2;Tusc1
Rdh5;Ly6e;Plk3;Rpl38
Hook2;Wars;Eif5;Eif3e
Prosc;H2-Q7;Clk4;Actn1
Lat2;Lifr;Zfp36;Zdhhc2
Tgtp1;Cyth3;Bhlhe40;Fth1
Tha1;Cldn3;Zfand5;Timm9
Rpp38;Rab27b;Cdr2;Tpd52l1
Nop58;Tmtc2;Sik1;Rpl39
Gnl3;Arap2;Dnajb1;Lrg1
Col11a2;Zfp641;Dusp8;Aprt
Zbtb21;Hmcn1;Nabp1;Psmg4
Tk1;Tmem221;Adamts1;Gnl2
Egr2;Tmod2;Junb;Sys1
Nfkb2;Tor3a;Timp3;Higd2a
Tinagl1;Mapt;Gm38399;Glod4
Pogk;Parp11;Mafg;Tmem35b
Fam72a;Asap2;Ppp1r18;Rpl26
Kyat1;Bc028528;Mapk6;Alyref
Zfp296;Vegfa;Pcf11;Rtcb
Ralgds;Dnah8;Gna13;Vasn
Il4I1;Au020206;Stat3;Gss
Zfp870;Dpp4;Flnc;Rps8
Ppp1r18;Casc4;Icam1;Ptms
Tcf19;Pllp;Usp36;Susd2
Amhr2;Smad6;Nav2;Zfp629
Csrnp1;Tcn2;Skil;Rps25
Wsb1;Ptgfrn;Tmem33;Rpl37a
Ifrd1;Wdr11;Gadd45b;Stambpl1
Ddx58;Brd9;Cstf3;Rps23
Fosl2;Sun1;Pkd1l3;Hist2h2aa1
Endov;Cyp4b1;Ppp1r15a;Atg3
Cdkn2aip;Arhgef26;Dennd5b;Eif1ax
Zfp456;Efnb1;Plekho2;Rpl36a
Ciart;Gpr182;Cbx4;Hcfc1r1
Zbtb2;Prr12;Zfp46;Rpl32
Smarcd3;Ackr4;Fosl1;Mrpl52
Dbp;Scn3b;Noct;Rps9
Ttc21a;Pdp2;Zfp655;Rps12-ps3
Irgm2;Pde9a;Rab20;Rpl41
Clk1;Nipal3;Tfe3;Larp7
Kdm6b;Icam2;Fosl2;Ncf2
Srsf5;Pard6g;Atf4;Fam69a
Dll1;Cav1;Nfe2l2;Rps20
Pank2;Ltbp1;Slc25a33;Fam114a1
Ebf1;Prdm11;Fut2;Rps6
Jak3;Tnrc6c;Phf23;Ifi27l2a
Stmn4;Zfp472;1810055G02Rik;Snrpg
Aacs;Atp13a2;Errfi1;Sec61b
Sdcbp2;Ifitm10;Coq10b;Set
Birc5;Ptprb;Clk1;Tufm
Bbc3;Rnf144a;Rnf185;Tfap2a
Elmsan1;Itm2b;Chd1;Hmgb3
N4bp2l2;Gm10031;Nuak2;Tsen54
N4bp2l1;Mill2;Bcr;Rps15a
Pnrc1;Nlgn2;2010111I01Rik;Rpl14
Trit1;Luzp1;Nup210l;Rpsa
Milr1;Pde3a;Ippk;Clns1a
Shb;Sgip1;Peli1;Fam132a
Ldlrad4;Cep83os;Ssh1;Rpl29
Camk2n2;Ghr;Snai2;Strap
Cdc42ep4;Jup;Nt5dc3;Txnrd2
Elovl6;Adgrf5;Etf1;Rpl12
Homer1;Prx;Klf6;Serpina3n
Gm17455;Sema3g;Epha2;Trp53I13
Zc3h6;Bdp1;Gadd45a;Srm
Med13l;H2-M3;Neat1;Psenen
Mt2;Fam208a;Hspa5;Eef1d
Pim3;Olfr56;Slc7a1;Myo19
Cirbp;Oas2;Gm27010;Efl1
Gpbp1;Tap1;Dnaja1;Fuca2
Sun2;P2rx4;Sat1;Eif3k
Apon;Cadps2;Mcl1;Tomm20
Slc6a6;Sema3c;Brd2;Numbl
Atrnl1;Prex2;Tgoln1;Glrx5
Tef;Adrb2;Rabgef1;Drap1
Ctps;Nkd1;Tiparp;Tma7
Sbsn;Cav2;Map2k3;Bysl
Armc3;Meis1;Rnd1;Cyb5r1
Mapk15;Amigo1;Pvr;Etfa
Mecom;Nckap5;Arf6;Gm3550
Hdc;Plxnc1;Eif1a;Tsc2
Fut2;Snx21;Cars;Rpl37
Eogt;Arl4d;Sec24a;Tomm7
Sec1;Stt3b;Atg2a;Serpinb9
Cep63;Cd47;Cd14;Glra1
Exoc3l4;Adgrl3;Lmna;Zfp354b
Gm26767;Numb;Prr7;Crls1
Oaf;Akap7;Kansl3;Llph
Patl1;Ifi47;Nfat5;Tspan5
Samsn1;H2-T24;Tmem11;Rpl36al
Gm15728;Cacfd1;Hspd1;Rpl13
Borcs6;Akap9;Ddx3Y;Rps18
Crybb3;1110034G24Rik;Pcna;Rps13
Zhx2;Gm4951;Nedd9;Tmem189
Samd14;Ido1;Sdc4;Rps26
Fbxw10;Slc16A9;Glul;Hspb11
Map3k14;Thap3;Gpr4;Zfp667
Slc25a47;Atp2a3;Tsc22d2;Commd7
Rbm12b1;Efnb2;Serpine1;Mrpl30
Rbm48;Gkap1;Dnajb4;S100A11
Ddit4;Ly6c1;Bcl10;Rpl17
Gm26545;Glb1L2;Eed;Ndufb6
Gm10605;Ucp2;Ipmk;Rpl35a
Mettl2;Champ1;Ccr7;Rps28
Pim1;S1pr1;Smim24;Timp1
Dph5;Cep290;P2ry2;Rsl24d1
Mrpl38;Qsox1;Nod2;Tbc1d24
Ddx31;Hilpda;Slc20a1;Eif5a
Cdkl1;Ctsd;Trps1;Sec61a1
Ctrb1;Snx14;Abl2;Nhp2
Bcor;Nucks1;Radil;Rpl24
Irf1;Epha4;Klf11;Mrpl10
Lyrm7;Ntn1;Yrdc;Pus7
Lemd2;Aph1a;Furin;Rack1
Icam1;Ehd4;Olfr328;Tor1aip2
Tmem91;Tmeff1;1810013L24Rik;Commd1
Epb41l4aos;Taz;Hmox1;Pitpna
Fbxo28;Gcfc2;Wac;Bex3
2310015A10Rik;Dhcr24;Neurl3;Rps15
Fgf2;Ankrd44;Relb;Macrod1
Mga;Aatk;Hspa1b;Atpif1
Mb21d2;Fgfr3;Arl5b;Ssr4
Ninj1;Aard;Iqgap1;Prelp
Pik3r5;Gcc2;Gprc5a;Ngf
Ints6;Acap2;Sqstm1;P2ry6
Alg12;Alas1;Gm12840;Znrd1